# GeoNames first-order administrative divisions — admin1CodesASCII.txt
# Source: https://download.geonames.org/export/dump/admin1CodesASCII.txt
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Vendored so data/cities.js regenerates without a network call, and so
# the region on a record is looked up rather than inferred.
# Columns: <country>.<adminCode>  <name>  <asciiName>  <geonameId>
AD.06	Sant Julià de Loria	Sant Julia de Loria
AD.05	Ordino	Ordino
AD.04	La Massana	La Massana
AD.03	Encamp	Encamp
AD.02	Canillo	Canillo
AD.07	Andorra la Vella	Andorra la Vella
AD.08	Escaldes-Engordany	Escaldes-Engordany
AE.07	Umm al Qaywayn	Umm al Qaywayn
AE.05	Raʼs al Khaymah	Ra's al Khaymah
AE.03	Dubai	Dubai
AE.06	Ash Shāriqah	Ash Shariqah
AE.04	Al Fujayrah	Al Fujayrah
AE.02	Ajman	Ajman
AE.01	Abu Dhabi	Abu Dhabi
AF.28	Zabul	Zabul
AF.27	Vardak	Vardak
AF.26	Takhār	Takhar
AF.33	Sar-e Pol	Sar-e Pol
AF.32	Samangān	Samangan
AF.40	Parvān	Parvan
AF.29	Paktīkā	Paktika
AF.36	Paktia	Paktia
AF.39	Orūzgān	Oruzgan
AF.19	Nīmrūz	Nimruz
AF.18	Nangarhār	Nangarhar
AF.17	Lowgar	Lowgar
AF.35	Laghmān	Laghman
AF.24	Kunduz	Kunduz
AF.34	Konar	Konar
AF.14	Kāpīsā	Kapisa
AF.23	Kandahār	Kandahar
AF.13	Kabul	Kabul
AF.31	Jowzjān	Jowzjan
AF.11	Herat	Herat
AF.10	Helmand	Helmand
AF.09	Ghowr	Ghowr
AF.08	Ghaznī	Ghazni
AF.07	Faryab	Faryab
AF.06	Farah	Farah
AF.05	Bāmīān	Bamian
AF.30	Balkh	Balkh
AF.03	Wilāyat-e Baghlān	Wilayat-e Baghlan
AF.02	Badghis	Badghis
AF.01	Badakhshan	Badakhshan
AF.37	Khowst	Khowst
AF.38	Nūrestān	Nurestan
AF.41	Daykundi	Daykundi
AF.42	Panjshir	Panjshir
AG.08	Saint Philip	Saint Philip
AG.07	Saint Peter	Saint Peter
AG.06	Saint Paul	Saint Paul
AG.05	Saint Mary	Saint Mary
AG.04	Saint John	Saint John
AG.03	Saint George	Saint George
AG.09	Redonda	Redonda
AG.01	Barbuda	Barbuda
AL.40	Berat	Berat
AL.41	Dibër	Diber
AL.43	Elbasan	Elbasan
AL.45	Gjirokastër	Gjirokaster
AL.46	Korçë	Korce
AL.47	Kukës	Kukes
AL.42	Durrës	Durres
AL.44	Fier	Fier
AL.48	Lezhë	Lezhe
AL.49	Shkodër	Shkoder
AL.50	Tiranë	Tirane
AL.51	Vlorë	Vlore
AM.02	Ararat	Ararat
AM.08	Syunikʼ	Syunik'i Marz
AM.10	Vayotsʼ Dzor	Vayots' Dzori Marz
AM.11	Yerevan	Yerevan
AM.01	Aragatsotn	Aragatsotn
AM.03	Armavir	Armavir
AM.04	Gegharkʼunikʼ	Geghark'unik'i Marz
AM.05	Kotaykʼ	Kotayk'i Marz
AM.06	Lorri	Lorri
AM.07	Shirak	Shirak
AM.09	Tavush	Tavush
AO.18	Lunda Sul	Lunda Sul
AO.17	Lunda Norte	Lunda Norte
AO.14	Moxico	Moxico
AO.04	Cuando Cubango	Cuando Cubango
AO.16	Zaire	Zaire
AO.15	Uíge	Uige
AO.12	Malanje	Malanje
AO.20	Luanda	Luanda
AO.05	Cuanza Norte	Cuanza Norte
AO.03	Cabinda	Cabinda
AO.19	Bengo	Bengo
AO.13	Namibe	Namibe
AO.09	Huíla	Huila
AO.08	Huambo	Huambo
AO.07	Cunene	Cunene
AO.06	Cuanza Sul	Cuanza Sul
